ID,ZoteroKey,DOI,Source,Title,DateRetrieved,Screener,Decision,FullTextView,ExclusionReason,Zote
1,adamsPitavastatinLoweringLipids,10.1002/14651858.CD013673.pub2,Cochrane CENTRAL,Pitavastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
2,adamsRosuvastatinLoweringLipids,10.1002/14651858.CD010254.pub2,Cochrane CENTRAL,Rosuvastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
3,adamsPravastatinLoweringLipids,10.1002/14651858.CD013673.pub2,Cochrane CENTRAL,Pravastatin for lowering lipids,9/14/25,DB,,,Serum calcium not mentioned,
4,,10.1186/s12902-025-02030-y,PubMed,Correlation between thyroid sensitivity indices and bone metabolism in newly diagnosed middle aged and elderly patients with type 2 diabetes mellitus with normal thyroid function,9/14/25,DB,,,,
5,,10.3760/cma.j.cn112144-20250430-00165,PubMed,[Phenome-wide Mendelian randomization identifies causal exposures for nonsyndromic cleft lip with or without cleft palate],9/14/25,DB,Exclude,No,Cholesterol levels not mentioned ,
6,,10.2147/IJGM.S530926. eCollection 2025,PubMed,Metabolic and Renal Profile Differences in Pure vs Mixed Uric Acid Kidney Stones: A Retrospective Study,9/14/25,DB,Exclude,No,Cholesterol levels not mentioned ,
7,,,PubMed,Mitochondrial-dependent apoptosis and STAT3 activation induced by oxidative stress in pemphigus vulgaris,9/14/25,DB,,,,
8,,,PubMed,Are there prophylactic effects of vitamin D among healthier adult patients? A systematic review of randomized controlled trials,9/14/25,DB,,,Systematic review,Used for secondary screening
9,,,PubMed,Hair Calcium Levels in Relation to Coronary Artery Disease Severity and Systemic Inflammation Markers: A Pilot Study,9/14/25,DB,,,,
10,,,PubMed,Serum biomarkers and bone mineral density of the hip in Chinese elderly patients with hip fractures,9/14/25,DB,,,,
11,,,PubMed,[Analysis of clinical characteristics and influencing factors of patients with postmenopausal osteoporosis combined with dyslipidemia],9/14/25,DB,,,,
12,,10.3390/vetsci12050495,PubMed,Subclinical Hypocalcemia Across Lactation Stages Reflects Potential Metabolic Vulnerability in Korean Holstein Cows,9/14/25,DB,Exclude,No,Not a human study,
13,,,PubMed,Evaluation of the fracture prevention effects of teriparatide and alendronate in patients with frailty: a sub-analysis of the Japanese osteoporosis intervention trial-05,9/14/25,DB,,,,
14,,10.1016/j.atherosclerosis.2025.119136,PubMed,Genetic association of circulating lipids and lipid-lowering drug targets with vascular calcification,9/14/25,DB,Exclude,No,Serum calcium not mentioned,
15,,,PubMed,Differences Between Olympic and National Athletes: Training and Experience Are the Keys to Success,9/14/25,DB,,,,
16,,,PubMed,Status of Lipid Profile among Patients with Chronic Kidney Disease,9/14/25,DB,,,,
17,,,PubMed,A Meta-Analysis Examining the Impact of Consuming Nitrogen-Free Analogs of Essential Amino Acids on the Progression of Chronic Renal Disease,9/14/25,DB,,,,
18,,,PubMed,Predictive Factors for Increased Bone Density Following Romosozumab Administration Based on Pre-Administration Blood Test Results,9/14/25,DB,,,,
19,,,PubMed,Diagnostic and clinical relevance of targeted metabolomic analysis of serum bile acid profiles in acute pancreatitis,9/14/25,DB,,,,
20,,,PubMed,The impact of predialytic oral protein-based supplements on nutritional status and quality of life in hemodialysis patients: a randomized clinical trial,9/14/25,DB,,,,
21,,10.3390/ijms252313096,PubMed,Understanding Vascular Calcification in Chronic Kidney Disease: Pathogenesis and Therapeutic Implications,9/14/25,DB,Exclude,No,,
22,,,PubMed,Cholestyramine in hemodialysis: a new approach for hyperphosphatemia management,9/14/25,DB,,,,
23,,,PubMed,Curative Parathyroidectomy in Primary Hyperparathyroidism Improves Both Systolic and Diastolic Cardiac Dysfunction: A Six-Month Follow-Up Study at a Tertiary Care Hospital,9/14/25,DB,,,,
24,,,PubMed,[Establishment and validation of a sepsis 28-day mortality prediction model based on the lactate dehydrogenase-to-albumin ratio in patients with sepsis],9/14/25,DB,,,,
25,,,PubMed,Investigating the impact of extreme weather events and related indicators on cardiometabolic multimorbidity,9/14/25,DB,,,,
26,,,PubMed,Effect of Dietary Phosphate Restriction in Pre-Dialysis Chronic Kidney Disease Patients with Hyperphosphataemia in Southern Nigeria,9/14/25,DB,,,,
27,,,PubMed,Clinical Outcomes of Diabetes Mellitus on Moderately Severe Acute Pancreatitis and Severe Acute Pancreatitis,9/14/25,DB,,,,
28,,,PubMed,The risk factors determined by four machine learning methods for the change of difference of bone mineral density in post-menopausal women after three years follow-up,9/14/25,DB,,,,
29,,,PubMed,Prevalence of chronic postsurgical hypoparathyroidism not adequately controlled: an analysis of a nationwide cohort of 337 patients,9/14/25,DB,,,,
30,,,PubMed,Normocalcemic primary hyperparathyroidism is not associated with cardiometabolic alterations,9/14/25,DB,,,,
31,,,PubMed,"Alterations in serum levels of calcium, vitamin D, phosphorus, and parathyroid hormone in patients with clinically confirmed familial hypercholesterolemia: a cross-sectional study",9/14/25,DB,,,,
32,,,PubMed,"The association of vitamin D insufficiency with the prevalence of obesity in children: implications for serum calcium levels, alkaline phosphatase activity, and bone maturation",9/14/25,DB,,,,
33,,,PubMed,"Assessing the Impact of Serum Calcium, 25-Hydroxy Vitamin D, Ferritin, and Uric Acid Levels on Colorectal Cancer Risk",9/14/25,DB,,,,
34,,,PubMed,[Establishment and validation of a sepsis 28-day mortality prediction model based on the lactate dehydrogenase-to-albumin ratio in patients with sepsis],9/14/25,DB,,,,
35,,10.1016/j.vas.2024.100346,PubMed,"Comparative analysis between multi-strain probiotics and antibiotic as starter feed supplement of poultry on growth performance, serum metabolites and meat quality",9/14/25,DB,,,Not a human study,
36,,,PubMed,"Intraperitoneal administration of kisspeptin-10 modulates follicle maturation, gonadal steroids, calcium and metabolites in Sterlet sturgeon, Acipenser ruthenus",9/14/25,DB,,,Not a human study,
37,,,PubMed,Cross-sectional association between blood cholesterol and calcium levels in genetically diverse strains of mice,9/14/25,DB,,,Not a human study,
38,,,PubMed,Are There Any Pleiotropic Benefits of Vitamin D in Patients With Diabetic Kidney Disease? A Systematic Review of Randomized Controlled Trials,9/14/25,DB,,,,
39,,,PubMed,Serum magnesium level and cardiac valve calcification in hemodialysis patients,9/14/25,DB,,,,
40,,,PubMed,Potential Role of Bone Metabolism Markers in Kidney Transplant Recipients,9/14/25,DB,,,,
41,,,PubMed,Association between serum uric acid and bone mineral density in males from NHANES 2011-2020,9/14/25,DB,,,,
42,,,PubMed,Psychological profile of Chinese peritoneal dialysis patients during the Omicron pandemic in 2022,9/14/25,DB,,,,
43,,,PubMed,Calcium Blood Level Elevation After Atorvastatin Initiation in a Patient With Hyperparathyroidism,9/14/25,DB,,,,
44,,,PubMed,Analysis of the clinical profile and treatment efficiency of hyperlipidemic acute pancreatitis,9/14/25,DB,,,,
45,,,PubMed,"Prevalence, outcomes, and complications of vitamin D deficiency among patients with multiple myeloma: Nationwide burden of disease",9/14/25,DB,,,,
46,,,PubMed,Evaluating the associations between compliance with CKD guideline component metrics and renal outcomes,9/14/25,DB,,,,
47,,,PubMed,Predicting fracture risk for elderly osteoporosis patients by hybrid machine learning model,9/14/25,DB,,,,
48,,,PubMed,Machine learning-based comparison of factors influencing estimated glomerular filtration rate in Chinese women with or without non-alcoholic fatty liver,9/14/25,DB,,,,
49,,,PubMed,Non-nitrogen-containing bisphosphonates and nitrogen-containing bisphosphonates for the treatment of atherosclerosis and vascular calcification: A meta-analysis,9/14/25,DB,,,,
50,,,PubMed,"Appraisal of Minerals, Fasting Blood Glucose, and Lipid Parameters in Obese and Nonobese Premenopausal Women",9/14/25,DB,,,,
51,,,PubMed,Optimizing Dietary Habits in Adolescents with Polycystic Ovary Syndrome: Personalized Mediterranean Diet Intervention via Clinical Decision Support System-A Randomized Controlled Trial,9/14/25,DB,,,,
52,,,PubMed,Research on cognitive impairment and potential risk factors in peritoneal dialysis patients: An observational study,9/14/25,DB,,,,
53,,,PubMed,Serum uric acid concentration in acute pancreatitis is significantly higher than healthy population,9/14/25,DB,,,,
54,,,PubMed,Predictive Factors for Tissue Inflammation in Patients with Benign Prostatic Hyperplasia: A Clinical Prediction Study,9/14/25,DB,,,,
55,,10.3390/ani13152509,PubMed,"Effect of Parity, Body Condition Score at Calving, and Milk Yield on the Metabolic Profile of Gyr Cows in the Transition Period",9/14/25,DB,,,Not a human study,
56,,,PubMed,"Correlation between sedentary activity, physical activity and bone mineral density and fat in America: National Health and Nutrition Examination Survey, 2011-2018",9/14/25,DB,,,,
57,,,PubMed,"Clinical Features, Biochemical Parameters, and Treatment Adherence of Individuals Who Started the Treatment for Active Pulmonary Tuberculosis during the Pandemic Period",9/14/25,DB,,,,
58,,,PubMed,"[Use of cinacalcet in secondary hyperparathyroidism: assessment of nutritional, lipid and inflammatory status in chronic kidney disease]",9/14/25,DB,,,,
59,,,PubMed,Association between creatine phosphokinase level within normal range and bone mineral density in adolescents,9/14/25,DB,,,Done through 60 of 582 on pubmed,
60,,,PubMed,High-normal free thyroxine level is related with decreased bone mineral density in nonobese male patients with type 2 diabetes over 50 years old,9/14/25,DB,,,,
61,,,PubMed,"Relationships among body weight, lipids and bone mass in elderly individuals with fractures: A case-control study",9/14/25,DB,,,,
62,,,PubMed,Causal Factors for Osteoarthritis: A Scoping Review of Mendelian Randomization Studies,9/14/25,DB,,,,
63,,,PubMed,The Relationship Between Serum Fibroblast Growth Factor 23 and Klotho Protein and Low Bone Mineral Density in Middle-Aged and Elderly Patients with End-Stage Renal Disease,9/14/25,DB,,,,
64,,,PubMed,Mendelian Randomization Analysis of Genetic Proxies of Thiazide Diuretics and the Reduction of Kidney Stone Risk,9/14/25,DB,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,